10-MINUTE WALK PROFILING REPORT
==================================
Date: 2026-05-27T07:27:03.197Z
Total Frames Measured: 16116
Approx Average FPS: 131.6
Average Frame Time: 7.60ms
95th Percentile Frame Time: 34.70ms
99th Percentile Frame Time: 66.30ms
Max Frame Time (Worst): 151.00ms
Frames > 16.7ms (dropped): 1889
Frames > 33.3ms (SPIKE): 886

Active Objects (End of Run):
  Chunks: 63
  PointLights: 8
  Colliders: 476
  Player Position: x=0.0, z=-1769.2

Stability Analysis (Second Half of Run):
  Geometries: min=21, max=91 (delta=70)
  Textures: min=9, max=9 (delta=0)
  Colliders: min=438, max=518 (delta=80)
  JS Heap: min=19.9MB, max=80.3MB

Metrics History:
Time: 294.5s, FPS: 27, Geo: 63, Tex: 9, DrawCalls: 111, Triangles: 14288, Heap: 50.2MB, Colliders: 455
Time: 296.5s, FPS: 20, Geo: 63, Tex: 9, DrawCalls: 151, Triangles: 15440, Heap: 26.7MB, Colliders: 463
Time: 298.5s, FPS: 20, Geo: 63, Tex: 9, DrawCalls: 132, Triangles: 4832, Heap: 26.5MB, Colliders: 463
Time: 300.5s, FPS: 24, Geo: 63, Tex: 9, DrawCalls: 151, Triangles: 5624, Heap: 51.2MB, Colliders: 460
Time: 302.5s, FPS: 22, Geo: 63, Tex: 9, DrawCalls: 123, Triangles: 4588, Heap: 45.3MB, Colliders: 460
Time: 304.5s, FPS: 26, Geo: 63, Tex: 9, DrawCalls: 102, Triangles: 4048, Heap: 36.8MB, Colliders: 460
Time: 306.6s, FPS: 24, Geo: 77, Tex: 9, DrawCalls: 156, Triangles: 5656, Heap: 29.4MB, Colliders: 470
Time: 308.6s, FPS: 22, Geo: 77, Tex: 9, DrawCalls: 135, Triangles: 4652, Heap: 23.7MB, Colliders: 470
Time: 310.6s, FPS: 27, Geo: 77, Tex: 9, DrawCalls: 161, Triangles: 5792, Heap: 24.4MB, Colliders: 471
Time: 312.7s, FPS: 33, Geo: 77, Tex: 9, DrawCalls: 142, Triangles: 4816, Heap: 22.3MB, Colliders: 471
Time: 314.7s, FPS: 29, Geo: 77, Tex: 9, DrawCalls: 117, Triangles: 4476, Heap: 32.1MB, Colliders: 471
Time: 316.7s, FPS: 34, Geo: 70, Tex: 9, DrawCalls: 137, Triangles: 5356, Heap: 35.1MB, Colliders: 470
Time: 318.7s, FPS: 36, Geo: 70, Tex: 9, DrawCalls: 116, Triangles: 14292, Heap: 27.3MB, Colliders: 470
Time: 320.7s, FPS: 41, Geo: 77, Tex: 9, DrawCalls: 151, Triangles: 15588, Heap: 31.0MB, Colliders: 473
Time: 322.7s, FPS: 32, Geo: 77, Tex: 9, DrawCalls: 138, Triangles: 15284, Heap: 48.4MB, Colliders: 473
Time: 324.7s, FPS: 37, Geo: 77, Tex: 9, DrawCalls: 115, Triangles: 4428, Heap: 48.3MB, Colliders: 473
Time: 326.7s, FPS: 30, Geo: 91, Tex: 9, DrawCalls: 179, Triangles: 5716, Heap: 49.0MB, Colliders: 483
Time: 328.8s, FPS: 25, Geo: 91, Tex: 9, DrawCalls: 164, Triangles: 15228, Heap: 23.2MB, Colliders: 483
Time: 330.8s, FPS: 37, Geo: 77, Tex: 9, DrawCalls: 177, Triangles: 16092, Heap: 46.2MB, Colliders: 482
Time: 332.8s, FPS: 32, Geo: 77, Tex: 9, DrawCalls: 147, Triangles: 5500, Heap: 46.2MB, Colliders: 482
Time: 334.8s, FPS: 26, Geo: 77, Tex: 9, DrawCalls: 126, Triangles: 4752, Heap: 38.7MB, Colliders: 482
Time: 336.8s, FPS: 32, Geo: 84, Tex: 9, DrawCalls: 171, Triangles: 5932, Heap: 34.0MB, Colliders: 484
Time: 338.8s, FPS: 32, Geo: 84, Tex: 9, DrawCalls: 141, Triangles: 4772, Heap: 37.5MB, Colliders: 484
Time: 340.9s, FPS: 35, Geo: 84, Tex: 9, DrawCalls: 173, Triangles: 6032, Heap: 43.4MB, Colliders: 486
Time: 342.9s, FPS: 35, Geo: 84, Tex: 9, DrawCalls: 163, Triangles: 5620, Heap: 52.5MB, Colliders: 486
Time: 344.9s, FPS: 36, Geo: 84, Tex: 9, DrawCalls: 142, Triangles: 5064, Heap: 25.7MB, Colliders: 486
Time: 346.9s, FPS: 34, Geo: 91, Tex: 9, DrawCalls: 170, Triangles: 5728, Heap: 30.3MB, Colliders: 486
Time: 348.9s, FPS: 45, Geo: 91, Tex: 9, DrawCalls: 154, Triangles: 5096, Heap: 29.0MB, Colliders: 486
Time: 350.9s, FPS: 36, Geo: 84, Tex: 9, DrawCalls: 170, Triangles: 5852, Heap: 27.0MB, Colliders: 474
